imodel,model,x,t23,gX,sigma,sigma_ss,sigma_sb,sigma_bb,fracss,fracsb,fracbb,width,mmwidth,M,N_w,f_w,N1_w,N2_w,N1bb_w,N2bb_w,N1bs_w,N2bs_w,N1ss_w,N2ss_w,N_r,f_r,N1_r,N2_r,N1bb_r,N2bb_r,N1bs_r,N2bs_r,N1ss_r,N2ss_r,acc1bb,acc2bb,acc1bs,acc2bs,acc1ss,acc2ss,acc1bb_e,acc2bb_e,acc1bs_e,acc2bs_e,acc1ss_e,acc2ss_e,ssWeight,sbWeight,bbWeight
1,B3mL2,0.05,0.1,0.01,123.624,0.0,1.36396,122.26,0.0,0.01103313272503721,0.9889665437131949,0.008755270253148728,0.004774648292754628,200,341.800042,0.057027710956199996,322.307961,19.492074,319.115808,19.469014,3.1921939999999998,0.02306,0.0,0.0,94313.0,0.057595453437000003,88881.0,5432.0,87995.0,5427.0,886.0,5.0,0.0,0.0,0.018969046142608775,0.0011572871529983756,0.017008625108013122,0.00012286812611977298,0.0,0.0,6.394645818857821e-05,1.570945871583355e-05,0.000571415935751578,5.494829645436597e-05,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.0125,86.2419,8.655469999999999e-05,0.8708739999999999,85.3708,1.00362700728996e-06,0.010098038192572286,0.9898993412714702,0.017109141399871686,0.009325484946788962,250,403.564247,0.0650888283471,377.29672999999997,26.267523999999998,373.891559,26.199687,3.4053160000000005,0.067835,0.0,0.0,159514.0,0.0656932933786,149035.0,10479.0,147690.0,10453.0,1345.0,26.0,0.0,0.0,0.03182862485945034,0.0022303258495279853,0.028417355491737763,0.0005660829449548973,0.0,0.0,8.282135476896202e-05,2.1814629569222406e-05,0.0007748587078992435,0.00011101799933219584,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.02,30.7822,6.2266e-05,0.320592,30.4616,2.022792393006348e-06,0.01041485014066571,0.9895848899688782,0.0789319375696101,0.03819718634205377,400,327.373691,0.100406919993,294.503108,32.870584,292.02619300000003,32.814478,2.477005,0.05611,0.0,0.0,363899.0,0.10148145501900001,326970.0,36929.0,324221.0,36868.0,2749.0,61.0,0.0,0.0,0.0696707782703622,0.007828784799436392,0.05615077676792121,0.0012719474060197938,0.0,0.0,0.00012235735815147933,4.0772708829374715e-05,0.0010709480356353687,0.00016285617730551482,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.0275,13.9579,1.3371300000000002e-05,0.152906,13.8049,9.579736206735972e-07,0.010954799790799474,0.9890384656717701,0.21289268209324103,0.09929776371342701,550,220.08533599999998,0.129217345948,191.64649,28.438843,189.97233899999998,28.391661,1.674082,0.047179,0.0,0.0,541157.0,0.130888078691,470326.0,70831.0,466140.0,70722.0,4186.0,109.0,0.0,0.0,0.10000890472072015,0.014946486076649225,0.07956714324258801,0.002242362232580041,0.0,0.0,0.00014648072643427154,5.620330243848979e-05,0.001229799050916295,0.00021477934873523482,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.035,7.18842,1.3960299999999999e-05,0.08201130000000001,7.106389999999999,1.9420540257803524e-06,0.01140880749872712,0.9885885910951223,0.44185960955956444,0.20471304555194975,700,142.309476,0.153252999119,120.50012,21.809354000000003,119.454136,21.776587,1.046154,0.032764999999999996,0.0,0.0,682313.0,0.155241069714,576390.0,105923.0,571349.0,105759.0,5041.0,164.0,0.0,0.0,0.12216132077919917,0.022270109006381645,0.09270507079015969,0.0029034746743209715,0.0,0.0,0.00016161549017673185,6.847998790193392e-05,0.0013057052223966153,0.00022672328121850073,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.0425,3.9685099999999998,3.96401e-06,0.0445243,3.9239800000000002,9.988660731609597e-07,0.011219399724329787,0.9887791639683409,0.7927701456380287,0.36652886034866283,850,90.445428,0.171700188096,74.915933,15.529497000000001,74.277406,15.506285,0.6385649999999999,0.023211000000000002,0.0,0.0,787406.0,0.173564844566,650740.0,136666.0,645089.0,136479.0,5651.0,187.0,0.0,0.0,0.13756612664976958,0.02871855226308552,0.1042292413721924,0.0037885961828317528,0.0,0.0,0.00017127804260853936,7.773733123096439e-05,0.001386522505066497,0.000277049591465817,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.05,2.29841,0.0,0.0250297,2.27338,0.0,0.010890006569759093,0.9891098629052257,1.2919543972377254,0.5968310365946072,1000,57.552066,0.18541122398600002,46.881268,10.670799,46.500406,10.654277,0.380818,0.016521,0.0,0.0,867721.0,0.187559134791,704972.0,162749.0,699192.0,162509.0,5780.0,240.0,0.0,0.0,0.14865046630700685,0.03405912723028737,0.11057154797774663,0.0047969175410310224,0.0,0.0,0.00017777392069435045,8.448795649288252e-05,0.0014543852803271815,0.0003096396958257231,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.0625,0.9815719999999999,0.0,0.00985913,0.9717129999999999,0.0,0.010044224977892606,0.9899559074627231,2.5246751951723083,1.1656856183488427,1250,26.735903999999998,0.20137258123,21.352026000000002,5.383878,21.194496,5.375921,0.157503,0.007958,0.0,0.0,950732.0,0.203044601423,757691.0,193041.0,752031.0,192763.0,5660.0,278.0,0.0,0.0,0.15851364285736683,0.040206515003867904,0.11609988866652911,0.005866065497217441,0.0,0.0,0.00018278846050035944,9.157661636520923e-05,0.0015432048789128531,0.0003518232286761816,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.075,0.43833500000000003,1.28134e-06,0.00404286,0.434291,2.923198010653952e-06,0.009223219683575347,0.990774179565857,4.363471154070804,2.0143047485067997,1500,12.395157000000001,0.21125242705699998,9.776649,2.618507,9.711756,2.614419,0.06489500000000001,0.0040880000000000005,0.0,0.0,991165.0,0.212855579041,780190.0,210975.0,774861.0,210642.0,5329.0,333.0,0.0,0.0,0.1625168886599613,0.043749785469639826,0.11665519942191513,0.007348585487892581,0.0,0.0,0.00018462333764578869,9.532426008832265e-05,0.0015980164304371935,0.0004027000041121284,0.0,0.0,1.0,1.0,1.0
1,B3mL2,0.05,0.1,0.1,0.102925,0.0,0.000508559,0.10241700000000001,0.0,0.004941063881467088,0.995064367257712,10.344343167266167,4.774648292756862,2000,2.808705,0.22025915858000003,2.1900619999999997,0.618643,2.1828119999999998,0.618121,0.007248,0.000522,0.0,0.0,961178.0,0.221399158116,748374.0,212804.0,745808.0,212630.0,2566.0,174.0,0.0,0.0,0.15489088044294966,0.043861452983709324,0.10357582621613454,0.007459517285433531,0.0,0.0,0.00017935452149840417,9.511975975608252e-05,0.002044702275468457,0.0005655045460130171,0.0,0.0,1.0,1.0,1.0
