model,mass,xsec_total,xsec_ss,xsec_sb,xsec_bb,xsec_ss_undoModel,xsec_sb_undoModel,xsec_bb_undoModel,Gamma_ss~,Gamma_sb~,Gamma_bb~,Gamma_mumu,Gamma_Zp,xsec_ss_undoModel_final,xsec_sb_undoModel_final,xsec_bb_undoModel_final,xsec_ss_final,xsec_sb_final,xsec_bb_final,xsec_total_final,xsec_ss_unc,xsec_sb_unc,xsec_bb_unc
DYp3,100,31.3425,8.20721,0.364636,22.7706,825812,5.28281e+06,2.62239e+06,3.14907e-05,2.18707e-07,2.75135e-05,0.000268091,0.000849473,826546,3.69777e+06,2.62578e+06,8.21453,0.255232,22.8001,31.2699,0.000887428,0.185277,0.00139445
DY3,100,33.7049,9.0272,0.149514,24.5283,827279,3.75791e+06,2.6331e+06,9.78154e-05,3.5665e-07,8.35037e-05,0.000289967,0.00259928,826546,3.69777e+06,2.62578e+06,9.01923,0.147122,24.4602,33.6266,0.000887428,0.185277,0.00139445
B3mL2,100,289.516,0,2.07684,287.439,0,3.81412e+06,2.62186e+06,9.88104e-09,9.78272e-07,0.000196965,0.000596831,0.00107232,826546,3.69777e+06,2.62578e+06,0.00454566,2.01339,287.856,289.874,0.000887428,0.185277,0.00139445
Y3,100,21.1373,0,0.151802,20.9855,0,1.93623e+06,1.5058e+06,9.73159e-05,4.7128e-07,8.3774e-05,0.000145089,0.000872154,0,3.69777e+06,1.5058e+06,0,0.289909,20.9855,21.2754,0.000887428,0.185277,0.00139445
B3mL2,200,123.624,0,1.36396,122.26,0,318787,142274,7.90485e-08,7.8457e-06,0.00157576,0.00477465,0.00875527,65308.6,271570,144400,0.00281537,1.16194,124.088,125.252,0.0484148,0.0745987,0.0105963
DYp3,200,9.17054,0.253425,0.132136,8.78498,62146.7,265408,143694,1.43676e-05,1.75412e-06,0.000215404,0.0016569,0.00583781,65308.6,271570,144400,0.266318,0.135204,8.82809,9.22961,0.0484148,0.0745987,0.0105963
DY3,200,12.7906,0.414871,0.104467,12.2712,68470.5,281165,142727,4.66538e-05,2.86085e-06,0.000661997,0.00232243,0.0178821,65308.6,271570,144400,0.395714,0.100902,12.415,12.9116,0.0484148,0.0745987,0.0105963
Y3,200,15.9797,0,0.134422,15.8453,0,220919,148903,4.56828e-05,3.78034e-06,0.000661134,0.000646276,0.00401526,65308.6,271570,144400,0.480206,0.165241,15.366,16.0114,0.0484148,0.0745987,0.0105963
Y3,250,10.1165,0,0.0861733,10.0302,0,86752.4,52985.4,3.48121e-05,7.38585e-06,0.00140755,0.00116833,0.00868706,18489.3,98221.7,51551.1,0.0865651,0.0975664,9.75874,9.94287,0.472793,0.0411188,0.00939407
B3mL2,250,86.2419,8.65547e-05,0.870874,85.3708,1028.52,104234,50890,1.54392e-07,1.53282e-05,0.00307767,0.00932548,0.0171091,18489.3,98221.7,51551.1,0.00155592,0.82062,86.4774,87.2996,0.472793,0.0411188,0.00939407
DYp3,250,6.57672,0.0816291,0.0918962,6.40319,27986.5,98385.4,51267.4,1.07017e-05,3.42707e-06,0.000458261,0.00313051,0.0114861,18489.3,98221.7,51551.1,0.0539282,0.0917432,6.43864,6.58431,0.472793,0.0411188,0.00939407
DY3,250,9.5364,0.123514,0.075044,9.33784,26452.8,103515,51061.7,3.59995e-05,5.58939e-06,0.00140995,0.00456329,0.0351827,18489.3,98221.7,51551.1,0.0863307,0.0712066,9.42733,9.58487,0.472793,0.0411188,0.00939407
Y3,400,2.90934,3.47996e-05,0.0224558,2.88685,22.523,8345.35,5073.48,1.7377e-05,3.0263e-05,0.0063995,0.00439507,0.0494303,1431.12,9969.14,5014.79,0.00221118,0.0268251,2.85345,2.88249,0.533198,0.0546788,0.00390657
B3mL2,400,30.7822,6.2266e-05,0.320592,30.4616,203.466,10548.4,4993.38,6.32388e-07,6.28046e-05,0.0126061,0.0381972,0.0789319,1431.12,9969.14,5014.79,0.000437965,0.30299,30.5923,30.8958,0.533198,0.0546788,0.00390657
DYp3,400,2.53174,0.00301789,0.0348087,2.49392,2646.45,10336.7,4994.23,4.75511e-06,1.40419e-05,0.00208226,0.0123624,0.051549,1431.12,9969.14,5014.79,0.001632,0.0335713,2.50421,2.53942,0.533198,0.0546788,0.00390657
DY3,400,3.8606,0.00649921,0.0290984,3.825,2852.05,10646.1,4998.06,1.90942e-05,2.29021e-05,0.00641249,0.0188387,0.157854,1431.12,9969.14,5014.79,0.00326117,0.0272476,3.83774,3.86824,0.533198,0.0546788,0.00390657
DY3,550,1.80865,0.00034748,0.0144071,1.79389,283.321,2100.54,903.669,1.06472e-05,5.95428e-05,0.0172333,0.0491031,0.426262,113.887,2002.43,905.821,0.000139682,0.0137347,1.79822,1.81209,0.572566,0.0183695,0.00220484
DYp3,550,1.17215,6.32436e-05,0.0164664,1.15562,149.334,1975.6,904.722,1.85498e-06,3.65072e-05,0.00559473,0.0317809,0.139202,113.887,2002.43,905.821,4.82317e-05,0.01669,1.15702,1.17376,0.572566,0.0183695,0.00220484
B3mL2,550,13.9579,1.33713e-05,0.152906,13.8049,17.4383,2007.72,903.159,1.64396e-06,0.000163283,0.032771,0.0992978,0.212893,113.887,2002.43,905.821,8.73261e-05,0.152503,13.8456,13.9982,0.572566,0.0183695,0.00220484
Y3,550,1.22483,3.65141e-06,0.0117237,1.2131,5.45382,1925.86,911.732,8.65332e-06,7.86801e-05,0.017197,0.011133,0.143889,113.887,2002.43,905.821,7.62501e-05,0.0121901,1.20526,1.21752,0.572566,0.0183695,0.00220484
DYp3,700,0.605124,0,0.00853234,0.596591,0,504.667,226.982,4.42276e-07,7.52668e-05,0.0117011,0.0652052,0.290284,13.6684,501.038,227.419,1.35791e-06,0.00847098,0.597741,0.606213,0.430609,0.042959,0.00157558
DY3,700,0.941133,1.60774e-05,0.00747987,0.933638,25.3742,534.415,227.177,5.55728e-06,0.000122759,0.0360457,0.10135,0.888927,13.6684,501.038,227.419,8.66041e-06,0.00701269,0.93463,0.941651,0.430609,0.042959,0.00157558
Y3,700,0.614353,1.81563e-06,0.00528058,0.60907,6.74039,439.248,228.487,3.63465e-06,0.000162215,0.0359687,0.022697,0.306252,13.6684,501.038,227.419,3.68188e-06,0.00602352,0.606236,0.612263,0.430609,0.042959,0.00157558
B3mL2,700,7.18842,1.39603e-05,0.0820113,7.10639,8.89056,525.822,227.031,3.38921e-06,0.000336641,0.067561,0.204713,0.44186,13.6684,501.038,227.419,2.14623e-05,0.0781445,7.11843,7.1966,0.430609,0.042959,0.00157558
