model,x,t23,M,N_w,f_w,N1_w,N2_w,N1bb_w,N2bb_w,N1bs_w,N2bs_w,N1ss_w,N2ss_w,N_r,f_r,N1_r,N2_r,N1bb_r,N2bb_r,N1bs_r,N2bs_r,N1ss_r,N2ss_r
Y3,0.14,-0.15,200,43.751515,0.0571899281659,41.249368,2.502146,40.858754,2.494985,0.390626,0.00716,0.0,0.0,93664.0,0.0582507687052,88208.0,5456.0,87366.0,5439.0,842.0,17.0,0.0,0.0
Y3,0.14,-0.15,250,47.466642,0.067029030619,44.285,3.181643,43.96354,3.178756,0.321438,0.002888,0.0,0.0,160163.0,0.0677060244876,149319.0,10844.0,148246.0,10834.0,1073.0,10.0,0.0,0.0
Y3,0.14,-0.15,400,31.079394,0.0994161597874,27.989601,3.089794,27.80546,3.086763,0.184139,0.003034,0.0,0.0,365557.0,0.100679237438,328753.0,36804.0,326596.0,36771.0,2157.0,33.0,0.0,0.0
Y3,0.14,-0.15,550,19.383951,0.129594322644,16.871902,2.51205,16.747058,2.508413,0.124848,0.003636,0.0,0.0,543816.0,0.13122269297,472455.0,71361.0,468920.0,71268.0,3535.0,93.0,0.0,0.0
Y3,0.14,-0.15,700,12.170421,0.153701420846,10.299809,1.870611,10.233382,1.86803,0.066421,0.00258,0.0,0.0,682820.0,0.155341085498,576750.0,106070.0,573024.0,105943.0,3726.0,127.0,0.0,0.0
Y3,0.14,-0.15,850,7.645493,0.171998195538,6.330481,1.315011,6.283373,1.313063,0.047086,0.001948,1.9e-05,0.0,789351.0,0.17359450992,652324.0,137027.0,647414.0,136847.0,4909.0,180.0,1.0,0.0
Y3,0.14,-0.15,1000,4.81377,0.185235896189,3.922089,0.891683,3.897119,0.890599,0.02497,0.001084,0.0,0.0,869904.0,0.187059721532,707180.0,162724.0,702674.0,162539.0,4506.0,185.0,0.0,0.0
Y3,0.14,-0.15,1250,2.238611,0.201475379153,1.787587,0.451025,1.775825,0.450368,0.011763,0.000656,0.0,0.0,956060.0,0.203326151078,761668.0,194392.0,756606.0,194134.0,5062.0,258.0,0.0,0.0
Y3,0.14,-0.15,1500,1.031535,0.212088780313,0.812757,0.218777,0.808537,0.218528,0.004219,0.000249,0.0,0.0,994116.0,0.213864378,781510.0,212606.0,777416.0,212382.0,4094.0,224.0,0.0,0.0
Y3,0.14,-0.15,2000,0.229115,0.22063156057,0.178566,0.05055,0.178133,0.050522,0.000433,2.8e-05,0.0,0.0,980029.0,0.22222301585,762244.0,217785.0,760303.0,217670.0,1941.0,115.0,0.0,0.0
DY3,0.14,0.13,200,33.853821,0.0570101377921,31.92381,1.930011,31.656985,1.924878,0.248984,0.003639,0.017831,0.001493,90320.0,0.0575066430469,85126.0,5194.0,84387.0,5182.0,694.0,10.0,45.0,2.0
DY3,0.14,0.13,250,43.965203,0.0670729076356,41.016327,2.948874,40.741855,2.944262,0.264873,0.004613,0.009594,0.0,157282.0,0.0677572767386,146625.0,10657.0,145638.0,10641.0,958.0,16.0,29.0,0.0
DY3,0.14,0.13,400,40.904645,0.100005512821,36.813956,4.09069,36.598522,4.085014,0.214204,0.005555,0.001225,0.000122,362746.0,0.101208559157,326033.0,36713.0,324090.0,36666.0,1934.0,46.0,9.0,1.0
DY3,0.14,0.13,550,28.538989,0.129226021286,24.851009,3.68798,24.698412,3.683463,0.152561,0.004518,2e-05,0.0,541095.0,0.130805126641,470317.0,70778.0,467405.0,70695.0,2911.0,83.0,1.0,0.0
DY3,0.14,0.13,700,18.561335,0.154080996868,15.701387,2.859949,15.607067,2.856511,0.094315,0.003437,0.0,0.0,679944.0,0.15546133211,574239.0,105705.0,570739.0,105587.0,3500.0,118.0,0.0,0.0
DY3,0.14,0.13,850,11.929064,0.170467356031,9.895547,2.033516,9.836858,2.031175,0.058684,0.002343,0.0,0.0,788679.0,0.172565771372,652580.0,136099.0,648719.0,135964.0,3861.0,135.0,0.0,0.0
DY3,0.14,0.13,1000,7.503893,0.185590999232,6.111239,1.392655,6.0772,1.391182,0.034045,0.001474,0.0,0.0,865231.0,0.187505995509,702995.0,162236.0,699053.0,162069.0,3942.0,167.0,0.0,0.0
DY3,0.14,0.13,1250,3.518951,0.200522826263,2.81332,0.70563,2.798685,0.704938,0.014635,0.000693,0.0,0.0,940612.0,0.202447980676,750187.0,190425.0,746265.0,190250.0,3922.0,175.0,0.0,0.0
DY3,0.14,0.13,1500,1.650914,0.210786267486,1.302923,0.34799,1.297548,0.347653,0.005375,0.000338,0.0,0.0,971424.0,0.212068056791,765416.0,206008.0,762207.0,205822.0,3209.0,186.0,0.0,0.0
DY3,0.14,0.13,2000,0.400208,0.215500439771,0.313964,0.086245,0.313373,0.086198,0.00059,4.6e-05,0.0,0.0,909869.0,0.216830115104,712582.0,197287.0,711232.0,197186.0,1350.0,101.0,0.0,0.0
DYp3,0.08,-0.18,200,24.582689,0.0581285879669,23.153732,1.428957,22.835499,1.4256,0.306228,0.003358,0.012,0.0,91644.0,0.0586836017633,86266.0,5378.0,85082.0,5367.0,1142.0,11.0,42.0,0.0
DYp3,0.08,-0.18,250,30.549769,0.0670083299157,28.50268,2.047089,28.138451,2.043119,0.358911,0.00397,0.00533,0.0,158195.0,0.0677707892158,147474.0,10721.0,145596.0,10702.0,1854.0,19.0,24.0,0.0
DYp3,0.08,-0.18,400,26.901769,0.0986356324746,24.248295,2.653473,23.975488,2.64522,0.27202,0.008207,0.000801,4.5e-05,363636.0,0.0995665995666,327430.0,36206.0,323728.0,36105.0,3693.0,100.0,9.0,1.0
DYp3,0.08,-0.18,550,18.498369,0.129562503592,16.101673,2.396695,15.922042,2.391171,0.179569,0.005526,6.5e-05,0.0,542034.0,0.131189187394,470925.0,71109.0,465643.0,70959.0,5281.0,150.0,1.0,0.0
DYp3,0.08,-0.18,700,11.973319,0.152938629631,10.142137,1.831183,10.03051,1.827428,0.111633,0.003754,0.0,0.0,682391.0,0.154897998362,576690.0,105701.0,570352.0,105488.0,6338.0,213.0,0.0,0.0
DYp3,0.08,-0.18,850,7.646016,0.170873171074,6.339517,1.306499,6.272961,1.303939,0.066571,0.002559,0.0,0.0,789109.0,0.172898801053,652673.0,136436.0,645753.0,136190.0,6920.0,246.0,0.0,0.0
DYp3,0.08,-0.18,1000,4.867328,0.185350155157,3.965166,0.90216,3.925523,0.900268,0.039632,0.001892,7e-06,0.0,869638.0,0.187104289371,706925.0,162713.0,699789.0,162389.0,7135.0,324.0,1.0,0.0
DYp3,0.08,-0.18,1250,2.263754,0.200227144822,1.810488,0.453265,1.793932,0.452375,0.016557,0.000891,0.0,0.0,951206.0,0.20236415666,758716.0,192490.0,751693.0,192134.0,7023.0,356.0,0.0,0.0
DYp3,0.08,-0.18,1500,1.046064,0.212301541779,0.823983,0.222081,0.817031,0.221626,0.006952,0.000456,0.0,0.0,996722.0,0.21401554295,783408.0,213314.0,776644.0,212923.0,6764.0,391.0,0.0,0.0
DYp3,0.08,-0.18,2000,0.231054,0.221000285648,0.179993,0.051063,0.179119,0.050999,0.000875,6.3e-05,0.0,0.0,983847.0,0.222890347788,764557.0,219290.0,760683.0,219035.0,3874.0,255.0,0.0,0.0
B3mL2,0.05,0.1,200,341.800042,0.0570277109562,322.307961,19.492074,319.115808,19.469014,3.192194,0.02306,0.0,0.0,94313.0,0.057595453437,88881.0,5432.0,87995.0,5427.0,886.0,5.0,0.0,0.0
B3mL2,0.05,0.1,250,403.564247,0.0650888283471,377.29673,26.267524,373.891559,26.199687,3.405316,0.067835,0.0,0.0,159514.0,0.0656932933786,149035.0,10479.0,147690.0,10453.0,1345.0,26.0,0.0,0.0
B3mL2,0.05,0.1,400,327.373691,0.100406919993,294.503108,32.870584,292.026193,32.814478,2.477005,0.05611,0.0,0.0,363899.0,0.101481455019,326970.0,36929.0,324221.0,36868.0,2749.0,61.0,0.0,0.0
B3mL2,0.05,0.1,550,220.085336,0.129217345948,191.64649,28.438843,189.972339,28.391661,1.674082,0.047179,0.0,0.0,541157.0,0.130888078691,470326.0,70831.0,466140.0,70722.0,4186.0,109.0,0.0,0.0
B3mL2,0.05,0.1,700,142.309476,0.153252999119,120.50012,21.809354,119.454136,21.776587,1.046154,0.032765,0.0,0.0,682313.0,0.155241069714,576390.0,105923.0,571349.0,105759.0,5041.0,164.0,0.0,0.0
B3mL2,0.05,0.1,850,90.445428,0.171700188096,74.915933,15.529497,74.277406,15.506285,0.638565,0.023211,0.0,0.0,787406.0,0.173564844566,650740.0,136666.0,645089.0,136479.0,5651.0,187.0,0.0,0.0
B3mL2,0.05,0.1,1000,57.552066,0.185411223986,46.881268,10.670799,46.500406,10.654277,0.380818,0.016521,0.0,0.0,867721.0,0.187559134791,704972.0,162749.0,699192.0,162509.0,5780.0,240.0,0.0,0.0
B3mL2,0.05,0.1,1250,26.735904,0.20137258123,21.352026,5.383878,21.194496,5.375921,0.157503,0.007958,0.0,0.0,950732.0,0.203044601423,757691.0,193041.0,752031.0,192763.0,5660.0,278.0,0.0,0.0
B3mL2,0.05,0.1,1500,12.395157,0.211252427057,9.776649,2.618507,9.711756,2.614419,0.064895,0.004088,0.0,0.0,991165.0,0.212855579041,780190.0,210975.0,774861.0,210642.0,5329.0,333.0,0.0,0.0
B3mL2,0.05,0.1,2000,2.808705,0.22025915858,2.190062,0.618643,2.182812,0.618121,0.007248,0.000522,0.0,0.0,961178.0,0.221399158116,748374.0,212804.0,745808.0,212630.0,2566.0,174.0,0.0,0.0
